date,nifty50,dowjones,nasdaq,usdollarindex,sp500,usdinr
1/3/2000,1592.2,11357.50977,4131.149902,100.2200012,1455.219971,43.435
1/4/2000,1638.7,10997.92969,3901.689941,100.4100037,1399.420044,43.48
1/5/2000,1595.8,11122.65039,3877.540039,100.3799973,1402.109985,43.49
1/6/2000,1617.6,11253.25977,3727.129883,100.6500015,1403.449951,43.49
1/7/2000,1613.3,11522.55957,3882.620117,100.8000031,1441.469971,43.485
1/10/2000,1632.95,11572.2002,4049.669922,100.9899979,1457.599976,43.485
1/11/2000,1572.5,11511.08008,3921.189941,100.5599976,1438.560059,43.525
1/12/2000,1624.8,11551.09961,3850.02002,100.6200027,1432.25,43.525
1/13/2000,1621.4,11582.42969,3957.209961,101,1449.680054,43.5
1/14/2000,1622.75,11722.98047,4064.27002,101.7200012,1465.150024,43.5
1/17/2000,1611.6,11560.71973,4130.810059,102.0500031,1455.140015,43.545
1/18/2000,1606.7,11560.71973,4130.810059,101.8600006,1455.140015,43.535
1/19/2000,1634.85,11489.36035,4151.290039,101.7600021,1455.900024,43.54
1/20/2000,1601.1,11351.2998,4189.509766,101.3600006,1445.569946,43.55
1/21/2000,1620.6,11251.70996,4235.399902,101.7600021,1441.359985,43.56
1/24/2000,1613.6,11008.16992,4096.080078,102.1999969,1401.530029,43.6
1/25/2000,1586.4,11029.88965,4167.410156,102.4100037,1410.030029,43.575
1/27/2000,1603.9,11028.01953,4039.560059,103.1699982,1398.560059,43.56
1/28/2000,1599.1,10738.87012,3887.070068,104.4800034,1360.160034,43.6
1/31/2000,1546.2,10940.53027,3940.350098,105.1299973,1394.459961,43.625
2/1/2000,1549.5,11041.0498,4051.97998,104.9199982,1409.280029,43.575
2/2/2000,1588,11003.2002,4073.959961,104.7900009,1409.119995,43.575
2/3/2000,1597.9,11013.44043,4210.97998,103.8000031,1424.969971,43.605
2/4/2000,1599.75,10963.7998,4244.140137,104.2900009,1424.369995,43.6
2/7/2000,1636.6,10905.79004,4321.77002,104.6399994,1424.23999,43.61
2/8/2000,1662.75,10957.59961,4427.5,104.2200012,1441.719971,43.59
2/9/2000,1689.65,10699.16016,4363.240234,103.6800003,1411.709961,43.585
2/10/2000,1711.2,10643.62988,4485.629883,104.1299973,1416.829956,43.615
2/11/2000,1756,10425.20996,4395.450195,104.1900024,1387.119995,43.605
2/14/2000,1744.5,10519.83984,4418.549805,104.7200012,1389.939941,43.615
2/15/2000,1702.55,10718.08984,4420.77002,104.6900024,1402.050049,43.625
2/16/2000,1711.1,10561.41016,4427.649902,104.2799988,1387.670044,43.625
2/17/2000,1742.1,10514.57031,4548.919922,104.2699966,1388.26001,43.575
2/18/2000,1717.8,10219.51953,4411.740234,104.6299973,1346.089966,43.64
2/21/2000,1753.5,10304.83984,4382.120117,104.5800018,1352.170044,43.602
2/22/2000,1739.05,10304.83984,4382.120117,103.2799988,1352.170044,43.6
2/23/2000,1696.4,10225.73047,4550.330078,103.5299988,1360.689941,43.6
2/24/2000,1732,10092.62988,4617.649902,104.0100021,1353.430054,43.6
2/25/2000,1710.45,9862.120117,4590.5,105.2600021,1333.359985,43.65
2/28/2000,1722.55,10038.65039,4577.850098,105.2699966,1348.050049,43.605
2/29/2000,1654.8,10128.30957,4696.689941,105.9199982,1366.420044,43.614
3/1/2000,1712.7,10137.92969,4784.080078,104.8899994,1379.189941,43.625
3/2/2000,1696.55,10164.91992,4754.509766,105.6500015,1381.76001,43.575
3/3/2000,1656,10367.2002,4914.790039,106,1409.170044,43.6
3/6/2000,1688.5,10170.5,4904.850098,106.1600037,1391.280029,43.6
3/7/2000,1702.75,9796.030273,4847.839844,106.0899963,1355.619995,43.565
3/8/2000,1666.35,9856.530273,4897.259766,105.9300003,1366.699951,43.59
3/9/2000,1646.25,10010.73047,5046.859863,105.3700027,1401.689941,43.58
3/10/2000,1602.75,9928.820313,5048.620117,105.7099991,1395.069946,43.575
3/13/2000,1560.7,9947.129883,4907.240234,105.5,1383.619995,43.6
3/14/2000,1567.05,9811.240234,4706.629883,105.3000031,1359.150024,43.59
3/15/2000,1620.1,10131.41016,4582.620117,105.3799973,1392.140015,43.575
3/16/2000,1562.2,10630.59961,4717.390137,105.1800003,1458.469971,43.575
3/21/2000,1556.6,10907.33984,4711.680176,105.8099976,1493.869995,43.575
3/22/2000,1589.6,10866.7002,4864.75,106.0400009,1500.640015,43.575
3/23/2000,1553.4,11119.86035,4940.609863,105.2300034,1527.349976,43.585
3/24/2000,1569.55,11112.71973,4963.029785,104.7699966,1527.459961,43.575
3/27/2000,1562.95,11025.84961,4958.560059,105.4499969,1523.859985,43.585
3/28/2000,1568.6,10936.11035,4833.890137,105.5299988,1507.72998,43.575
3/29/2000,1558.25,11018.71973,4644.669922,106.25,1508.52002,43.585
3/30/2000,1549.5,10980.25,4457.890137,105.4700012,1487.920044,43.59
3/31/2000,1528.45,10921.91992,4572.830078,105.4400024,1498.579956,43.6
4/3/2000,1534.75,11221.92969,4223.680176,105.5400009,1505.969971,43.612
4/4/2000,1428.1,11164.83984,4148.890137,105.1699982,1494.72998,43.615
4/5/2000,1434.65,11033.91992,4169.220215,105.2900009,1487.369995,43.61
4/6/2000,1452.95,11114.26953,4267.560059,105.5199966,1501.339966,43.6
4/7/2000,1557.15,11111.48047,4446.450195,105.9700012,1516.349976,43.62
4/10/2000,1613,11186.55957,4188.200195,105.6800003,1504.459961,43.61
4/11/2000,1624.65,11287.08008,4055.899902,105.9400024,1500.589966,43.615
4/12/2000,1592.7,11125.12988,3769.629883,105.9599991,1467.170044,43.625
4/13/2000,1518.65,10923.5498,3676.780029,106.1399994,1440.51001,43.64
4/17/2000,1443.55,10582.50977,3539.159912,106.1299973,1401.439941,43.66
4/18/2000,1414.8,10767.41992,3793.570068,106.6299973,1441.609985,43.625
4/19/2000,1404.95,10674.95996,3706.409912,107.1299973,1427.469971,43.65
4/20/2000,1415.65,10844.0498,3643.879883,107.4499969,1434.540039,43.65
4/24/2000,1388,10906.09961,3482.47998,107.2799988,1429.859985,43.65
4/25/2000,1359.45,11124.82031,3711.22998,108.6900024,1477.439941,43.65
4/26/2000,1436.1,10945.5,3630.090088,108.5500031,1460.98999,43.65
4/27/2000,1416.9,10888.09961,3774.030029,109.5699997,1464.920044,43.625
4/28/2000,1406.55,10733.91016,3860.659912,110.1399994,1452.430054,43.65
5/2/2000,1333.45,10731.12012,3785.449951,110.2600021,1446.290039,43.675
5/3/2000,1316.05,10480.12988,3707.310059,111.2600021,1415.099976,43.655
5/4/2000,1380.55,10412.49023,3720.23999,111.8000031,1409.569946,43.655
5/5/2000,1422.4,10577.86035,3816.820068,111.3099976,1432.630005,43.65
5/8/2000,1365.05,10603.62988,3669.379883,111.4499969,1424.170044,43.625
5/9/2000,1378.55,10536.75,3585.01001,110.75,1412.140015,43.65
5/10/2000,1363.15,10367.78027,3384.72998,110.8000031,1383.050049,44.075
5/11/2000,1304.55,10545.96973,3499.580078,111.5199966,1407.810059,44.12
5/12/2000,1282.8,10609.37012,3529.060059,109.9000015,1420.959961,44
5/15/2000,1299.25,10807.78027,3607.649902,110.5599976,1452.359985,43.9
5/16/2000,1306.85,10934.57031,3717.570068,111.3099976,1466.040039,43.925
5/17/2000,1311.65,10769.74023,3644.959961,112.0999985,1447.800049,43.935
5/18/2000,1293.4,10777.28027,3538.709961,112.2099991,1437.209961,43.95
5/19/2000,1268,10626.84961,3390.399902,111.4700012,1406.949951,43.94
5/22/2000,1233,10542.5498,3364.209961,111.0599976,1400.719971,44.025
5/23/2000,1224.4,10422.26953,3164.550049,111.1399994,1373.859985,44.05
5/24/2000,1235.9,10535.34961,3270.610107,111.2200012,1399.050049,44.15
5/25/2000,1247.65,10323.91992,3205.350098,110.75,1381.52002,44.05
5/26/2000,1275.35,10299.24023,3205.110107,109.1200027,1378.02002,44.29
5/29/2000,1311.05,10527.12988,3459.47998,108.9300003,1422.449951,44.51
5/30/2000,1344.85,10527.12988,3459.47998,108.9300003,1422.449951,44.55
5/31/2000,1380.45,10522.33008,3400.909912,108.7399979,1420.599976,44.575
6/1/2000,1349,10652.2002,3582.5,109.0500031,1448.810059,44.55
6/2/2000,1389.25,10794.75977,3813.379883,108.1200027,1477.26001,44.6
6/5/2000,1404.6,10815.2998,3821.76001,107.4599991,1467.630005,44.675
6/6/2000,1421.75,10735.57031,3756.370117,106.5899963,1457.839966,44.665
6/7/2000,1430.35,10812.86035,3839.26001,106.1800003,1471.359985,44.74
6/8/2000,1463.65,10668.71973,3825.560059,106.7099991,1461.670044,44.725
6/9/2000,1467.2,10614.05957,3874.840088,106.9899979,1456.949951,44.75
6/12/2000,1440.4,10564.20996,3767.909912,106.9700012,1446,44.75
6/13/2000,1432.9,10621.83984,3851.060059,106.4000015,1469.439941,44.75
6/14/2000,1435.5,10687.9502,3797.409912,106.4599991,1470.540039,44.7
6/15/2000,1445.25,10714.82031,3845.73999,106.8799973,1478.72998,44.7
6/16/2000,1477.3,10449.2998,3860.560059,105.9599991,1464.459961,44.73
6/19/2000,1498.75,10557.83984,3989.830078,106.3300018,1486,44.725
6/20/2000,1507.1,10435.16016,4013.360107,106.3300018,1475.949951,44.675
6/21/2000,1475.15,10497.74023,4064.01001,107.4300003,1479.130005,44.65
6/22/2000,1488.25,10376.12012,3936.840088,107.7099991,1452.180054,44.625
6/23/2000,1472.2,10404.75,3845.340088,108.0100021,1441.47998,44.675
6/26/2000,1451.65,10542.99023,3912.120117,108.1100006,1455.310059,44.675
