date,usdollarindex
1/4/1971,120.5299988
1/5/1971,120.5199966
1/6/1971,120.4899979
1/7/1971,120.5500031
1/8/1971,120.5299988
1/11/1971,120.5299988
1/12/1971,120.4899979
1/13/1971,120.4700012
1/14/1971,120.4400024
1/15/1971,120.4400024
1/18/1971,120.4100037
1/19/1971,120.3700027
1/20/1971,120.3399963
1/21/1971,120.3300018
1/22/1971,120.3099976
1/25/1971,120.2699966
1/26/1971,120.2600021
1/27/1971,120.25
1/28/1971,120.25
1/29/1971,120.2399979
2/1/1971,120.2600021
2/2/1971,120.2799988
2/3/1971,120.2399979
2/4/1971,120.2399979
2/5/1971,120.2600021
2/8/1971,120.2600021
2/9/1971,120.25
2/10/1971,120.2799988
2/11/1971,120.2900009
2/16/1971,120.2200012
2/17/1971,120.2099991
2/18/1971,120.2099991
2/19/1971,120.1800003
2/22/1971,120.1399994
2/23/1971,120.1200027
2/24/1971,120.1800003
2/25/1971,120.1999969
2/26/1971,120.2600021
3/1/1971,120.25
3/2/1971,120.2099991
3/3/1971,120.1900024
3/4/1971,120.1999969
3/5/1971,120.1699982
3/8/1971,120.1299973
3/9/1971,120.1399994
3/10/1971,120.1399994
3/11/1971,120.1600037
3/12/1971,120.1800003
3/15/1971,120.1900024
3/16/1971,120.1900024
3/17/1971,120.1600037
3/18/1971,120.1800003
3/19/1971,120.1800003
3/22/1971,120.1800003
3/23/1971,120.1699982
3/24/1971,120.1600037
3/25/1971,120.1699982
3/26/1971,120.1699982
3/29/1971,120.1800003
3/30/1971,120.1800003
3/31/1971,120.1699982
4/1/1971,120.1800003
4/2/1971,120.1800003
4/5/1971,120.1900024
4/6/1971,120.1600037
4/7/1971,120.1999969
4/8/1971,120.2200012
4/12/1971,120.2200012
4/13/1971,120.3099976
4/14/1971,120.2900009
4/15/1971,120.2300034
4/16/1971,120.2300034
4/19/1971,120.2900009
4/20/1971,120.2699966
4/21/1971,120.2300034
4/22/1971,120.2300034
4/23/1971,120.2699966
4/26/1971,120.2699966
4/27/1971,120.25
4/28/1971,120.1800003
4/29/1971,120.1800003
4/30/1971,120.1900024
5/3/1971,120.1699982
5/4/1971,120.1600037
5/5/1971,119.6500015
5/6/1971,119.6200027
5/7/1971,119.4400024
5/10/1971,119.1200027
5/11/1971,119.5599976
5/12/1971,119.4599991
5/13/1971,119.2699966
5/14/1971,119.3399963
5/17/1971,119.3300018
5/18/1971,119.3099976
5/19/1971,119.1999969
5/20/1971,118.9899979
5/21/1971,118.9100037
5/24/1971,118.9800034
5/25/1971,119.2600021
5/26/1971,119.3300018
5/27/1971,119.3499985
5/28/1971,119.4300003
6/1/1971,119.6900024
6/2/1971,119.5
6/3/1971,119.3199997
6/4/1971,119.2699966
6/7/1971,119.2300034
6/8/1971,119.25
6/9/1971,119.1900024
6/10/1971,119.2399979
6/11/1971,119.2399979
6/14/1971,119.2900009
6/15/1971,119.3399963
6/16/1971,119.3099976
6/17/1971,119.3199997
6/18/1971,119.2900009
6/21/1971,119.3199997
6/22/1971,119.2799988
6/23/1971,119.1600037
6/24/1971,119.1900024
6/25/1971,119.2099991
6/28/1971,119.25
6/29/1971,119.2099991
6/30/1971,119.1600037
7/1/1971,119.1699982
7/2/1971,119.1600037
7/6/1971,119.2099991
7/7/1971,119.1800003
7/8/1971,119.1800003
7/9/1971,119.1699982
7/12/1971,119.1699982
7/13/1971,119.1600037
7/14/1971,119.0500031
7/15/1971,119.0100021
7/16/1971,118.9199982
7/19/1971,118.9199982
7/20/1971,118.9100037
7/21/1971,118.8499985
7/22/1971,118.7900009
7/23/1971,118.7600021
7/26/1971,118.8000031
7/27/1971,118.8099976
7/28/1971,118.8300018
7/29/1971,118.7900009
7/30/1971,118.7600021
8/2/1971,118.7900009
8/3/1971,118.8099976
8/4/1971,118.6100006
8/5/1971,118.5400009
8/6/1971,118.5800018
8/9/1971,118.0299988
8/10/1971,118.0999985
8/11/1971,118.0400009
8/12/1971,117.8199997
8/13/1971,117.8399963
8/16/1971,117.8399963
8/17/1971,117.8399963
8/18/1971,117.8399963
8/19/1971,117.8399963
8/20/1971,117.8399963
8/23/1971,117.8399963
8/24/1971,117.8399963
8/25/1971,117.8399963
8/26/1971,117.8399963
8/27/1971,117.8399963
8/30/1971,117.8399963
8/31/1971,116.4700012
9/1/1971,116.5800018
9/2/1971,116.3499985
9/3/1971,116.3799973
9/7/1971,116.4199982
9/8/1971,116.4199982
9/9/1971,116.3899994
9/10/1971,116.3199997
9/13/1971,116.2900009
9/14/1971,116.0299988
9/15/1971,115.9499969
9/16/1971,115.9300003
9/17/1971,115.9100037
9/20/1971,115.5199966
9/21/1971,115.5599976
9/22/1971,115.4199982
9/23/1971,115.0299988
9/24/1971,114.9599991
9/27/1971,115.0299988
9/28/1971,115.0599976
9/29/1971,114.9300003
9/30/1971,114.9300003
10/1/1971,114.8099976
10/4/1971,114.8399963
10/5/1971,114.8300018
10/6/1971,114.7399979
10/7/1971,114.7099991
10/8/1971,114.6999969
10/12/1971,114.6600037
10/13/1971,114.7600021
10/14/1971,114.8799973
10/15/1971,114.8199997
10/18/1971,114.6399994
10/19/1971,114.6600037
10/20/1971,114.6200027
10/21/1971,114.5800018
10/22/1971,114.5999985
10/26/1971,114.5299988
10/27/1971,114.6399994
10/28/1971,114.5999985
10/29/1971,114.6500015
11/1/1971,114.6299973
11/3/1971,114.6200027
11/4/1971,114.6800003
11/5/1971,114.5699997
11/8/1971,114.6200027
11/9/1971,114.6399994
11/10/1971,114.6800003
11/11/1971,114.6399994
11/12/1971,114.5899963
11/15/1971,114.5400009
11/16/1971,114.5400009
11/17/1971,114.5400009
11/18/1971,114.5800018
11/19/1971,114.3700027
11/22/1971,114.3099976
11/23/1971,114.1900024
11/24/1971,113.9800034
11/26/1971,113.9300003
11/29/1971,113.9300003
11/30/1971,114.0100021
12/1/1971,113.8600006
12/2/1971,113.5800018
12/3/1971,113.25
12/6/1971,113.1100006
12/7/1971,113.1299973
12/8/1971,113.0400009
12/9/1971,112.9700012
12/10/1971,112.9400024
12/13/1971,112.9300003
12/14/1971,112.6900024
12/15/1971,112.5500031
12/16/1971,112.5299988
12/17/1971,112.3799973
12/21/1971,111.1600037
12/22/1971,111.1800003
12/23/1971,111.2699966
12/24/1971,111.2900009
12/27/1971,111.3899994
12/28/1971,111.4499969
12/29/1971,111.4700012
12/30/1971,111.2099991
1/3/1972,111.1900024
1/4/1972,111.2699966
1/5/1972,111.2200012
1/6/1972,111.0199966
1/7/1972,111.0400009
1/10/1972,110.9400024
1/11/1972,110.9700012
1/12/1972,110.6800003
1/13/1972,110.4400024
1/14/1972,110.0299988
1/17/1972,109.8600006
1/18/1972,110.0199966
1/19/1972,109.9400024
1/20/1972,109.9700012
1/21/1972,110.0400009
1/24/1972,109.8600006
1/25/1972,109.6900024
1/26/1972,109.7099991
1/27/1972,109.6500015
1/28/1972,109.6500015
1/31/1972,109.5999985
2/1/1972,109.4300003
2/2/1972,109.0100021
2/3/1972,109.1399994
2/4/1972,109.3499985
2/7/1972,109.1999969
2/8/1972,109.1699982
2/9/1972,108.9300003
2/10/1972,108.8899994
2/11/1972,108.9000015
2/14/1972,108.9400024
2/15/1972,108.9300003
2/16/1972,108.5599976
2/17/1972,108.6600037
2/18/1972,108.5999985
2/22/1972,108.6699982
2/23/1972,108.6200027
2/24/1972,108.5699997
2/25/1972,108.7699966
2/28/1972,108.8000031
2/29/1972,108.6800003
3/1/1972,108.6500015
3/2/1972,108.6399994
3/3/1972,108.5800018
3/6/1972,108.3700027
3/7/1972,108.1999969
3/8/1972,108.0100021
3/9/1972,107.7600021
3/10/1972,107.9000015
3/13/1972,108.1200027
3/14/1972,108.1299973
3/15/1972,108.1999969
3/16/1972,108.2200012
3/17/1972,109.1900024
3/20/1972,108.5100021
3/21/1972,108.2799988
3/22/1972,108.3399963
3/23/1972,108.5
3/24/1972,108.6500015
3/27/1972,108.4599991
3/28/1972,108.3799973
3/29/1972,108.3799973
3/30/1972,108.3700027
3/31/1972,108.4000015
4/3/1972,108.4000015
4/4/1972,108.4800034
4/5/1972,108.5
4/6/1972,108.5299988
4/7/1972,108.4599991
4/10/1972,108.2699966
4/11/1972,108.4000015
4/12/1972,108.3899994
4/13/1972,108.6600037
4/14/1972,108.5400009
4/17/1972,108.5500031
4/18/1972,108.7799988
4/19/1972,108.8499985
4/20/1972,108.6299973
4/21/1972,108.6500015
4/24/1972,108.6200027
4/25/1972,108.5599976
4/26/1972,108.5899963
4/27/1972,108.5899963
4/28/1972,108.6200027
5/1/1972,108.5800018
5/2/1972,108.5800018
5/3/1972,108.5400009
5/4/1972,108.4899979
5/5/1972,108.5199966
5/8/1972,108.5199966
5/9/1972,108.3899994
5/10/1972,108.2699966
5/11/1972,108.3300018
5/12/1972,108.3700027
5/15/1972,108.4599991
5/16/1972,108.5199966
5/17/1972,108.3899994
5/18/1972,108.3799973
